mapping,niveau,subniveau,opleidingsvorm,graad,leerjaar,stroom,finaliteit,onderwijsvorm,label,definitie
schema,,,,,,,,,thesaurus onderwijsstructuur,
verzameling-onderwijsstructuur,,,,,,,,,onderwijsstructuur,
verzameling-niveau,,,,,,,,,onderwijsniveaus,
verzameling-subniveau,,,,,,,,,onderwijs subniveaus,
verzameling-opleidingsvorm,,,,,,,,,opleidingsvormen,
verzameling-graad,,,,,,,,,onderwijsgraden,
verzameling-leerjaar,,,,,,,,,onderwijs leerjaren,
verzameling-stroom,,,,,,,,,onderwijsstromen,
verzameling-finaliteit,,,,,,,,,onderwijsfinaliteiten,
verzameling-onderwijsvorm,,,,,,,,,onderwijsvormen,
niveau,basisonderwijs,,,,,,,,basisonderwijs,basisonderwijs
subniveau,basisonderwijs,kleuteronderwijs,,,,,,,kleuteronderwijs,kleuteronderwijs
leerjaar-onder-subniveau,basisonderwijs,kleuteronderwijs,,,kleuter-3-jaar-of-jonger,,,,kleuter 3 jaar of jonger,kleuter 3 jaar of jonger
leerjaar-onder-subniveau,basisonderwijs,kleuteronderwijs,,,kleuter-4-jaar,,,,kleuter 4 jaar,kleuter 4 jaar
leerjaar-onder-subniveau,basisonderwijs,kleuteronderwijs,,,kleuter-5-jaar,,,,kleuter 5 jaar,kleuter 5 jaar
subniveau,basisonderwijs,lager-onderwijs,,,,,,,lager onderwijs,lager onderwijs
graad-onder-subniveau,basisonderwijs,lager-onderwijs,,lager-1e-graad,,,,,lager 1e graad,lager 1e graad
leerjaar-onder-graad,basisonderwijs,lager-onderwijs,,lager-1e-graad,lager-1e-leerjaar,,,,lager 1e leerjaar,lager 1e leerjaar
leerjaar-onder-graad,basisonderwijs,lager-onderwijs,,lager-1e-graad,lager-2e-leerjaar,,,,lager 2e leerjaar,lager 2e leerjaar
graad-onder-subniveau,basisonderwijs,lager-onderwijs,,lager-2e-graad,,,,,lager 2e graad,lager 2e graad
leerjaar-onder-graad,basisonderwijs,lager-onderwijs,,lager-2e-graad,lager-3e-leerjaar,,,,lager 3e leerjaar,lager 3e leerjaar
